network,dl,ul,rtt,loss
HSPA+,6.05,0.115,80,0
HSPA+,5.211,0.096,80,0
HSPA+,6.441,0.126,80,0
HSPA+,5.2,0.096,80,0
HSPA+,3.959,0.073,80,0
HSPA+,4.484,0.086,80,0
HSPA+,3.802,0.07,80,0
HSPA+,2.751,0.047,80,0
HSPA+,2.393,0.044,80,0
HSPA+,2.337,0.043,80,0
HSPA+,1.23,0.02,80,0
HSPA+,2.527,0.05,80,0
HSPA+,2.124,0.039,80,0
HSPA+,1.979,0.037,80,0
HSPA+,1.386,0.024,80,0
HSPA+,2.001,0.037,80,0
HSPA+,1.319,0.024,80,0
HSPA+,1.274,0.024,80,0
HSPA+,1.979,0.037,80,0
HSPA+,2.896,0.057,80,0
HSPA+,3.344,0.062,80,0
HSPA+,2.874,0.052,80,0
HSPA+,2.192,0.04,80,0
HSPA+,2.057,0.038,80,0
HSPA+,2.415,0.044,80,0
HSPA+,2.941,0.059,80,0
HSPA+,3.265,0.06,80,0
HSPA+,3.489,0.064,80,0
HSPA+,3.489,0.068,80,0
HSPA+,4.093,0.079,80,0
HSPA+,5.144,0.095,80,0
HSPA+,5.67,0.112,80,0
HSPA+,4.909,0.091,80,0
HSPA+,4.071,0.079,80,0
HSPA+,4.071,0.079,80,0
HSPA+,4.999,0.091,80,0
HSPA+,3.925,0.072,80,0
HSPA+,3.142,0.059,80,0
HSPA+,3.366,0.062,80,0
HSPA+,4.07,0.082,80,0
HSPA+,4.026,0.081,80,0
HSPA+,4.059,0.075,80,0
HSPA+,3.109,0.057,80,0
HSPA+,2.672,0.049,80,0
HSPA+,3.847,0.07,80,0
HSPA+,2.885,0.054,80,0
HSPA+,3.735,0.07,80,0
HSPA+,4.674,0.092,80,0
HSPA+,4.54,0.084,80,0
HSPA+,4.194,0.079,80,0
HSPA+,4.104,0.079,80,0
HSPA+,4.015,0.074,80,0
HSPA+,3.075,0.06,80,0
HSPA+,2.974,0.057,80,0
HSPA+,2.415,0.044,80,0
HSPA+,2.192,0.044,80,0
HSPA+,2.393,0.047,80,0
HSPA+,2.84,0.052,80,0
HSPA+,3.489,0.064,80,0
HSPA+,3.422,0.064,80,0
HSPA+,3.813,0.07,80,0
