network,dl,ul,rtt,loss
LTE,11.128,0.225,80,0
LTE,10.725,0.199,80,0
LTE,9.976,0.185,80,0
LTE,12.045,0.22,80,0
LTE,12.011,0.223,80,0
LTE,12.089,0.223,80,0
LTE,12.794,0.253,80,0
LTE,12.537,0.264,80,0
LTE,9.551,0.2,80,0
LTE,9.551,0.175,80,0
LTE,5.972,0.108,80,0
LTE,10.602,0.194,80,0
LTE,10.378,0.193,80,0
LTE,12.112,0.225,80,0
LTE,15.053,0.275,80,0
LTE,10.457,0.251,80,0
LTE,9.909,0.173,80,0
LTE,9.774,0.18,80,0
LTE,7.985,0.194,80,0
LTE,4.003,0.104,80,0
LTE,2.517,0.054,80,0
LTE,6.587,0.122,80,0
LTE,6.263,0.149,80,0
LTE,10.289,0.219,80,0
LTE,11.116,0.204,80,0
LTE,11.843,0.217,80,0
LTE,6.945,0.199,80,0
LTE,3.467,0.064,80,0
LTE,4.618,0.086,80,0
LTE,4.92,0.093,80,0
LTE,5.949,0.122,80,0
LTE,5.066,0.1,80,0
LTE,2.438,0.069,80,0
LTE,1.621,0.054,80,0
LTE,2.326,0.043,80,0
LTE,3.601,0.066,80,0
LTE,3.511,0.061,80,0
LTE,7.963,0.148,80,0
LTE,13.018,0.234,80,0
LTE,16.598,0.346,80,0
LTE,10.144,0.234,80,0
LTE,7.705,0.141,80,0
LTE,9.26,0.17,80,0
LTE,10.233,0.181,80,0
LTE,9.853,0.201,80,0
LTE,9.473,0.174,80,0
LTE,9.573,0.177,80,0
LTE,11.586,0.21,80,0
LTE,13.051,0.235,80,0
LTE,12.235,0.223,80,0
LTE,15.322,0.277,80,0
LTE,13.868,0.282,80,0
LTE,11.519,0.229,80,0
LTE,11.43,0.236,80,0
LTE,11.351,0.21,80,0
LTE,8.522,0.18,80,0
LTE,9.931,0.181,80,0
LTE,10.781,0.199,80,0
LTE,6.9,0.153,80,0
LTE,8.22,0.17,80,0
LTE,8.209,0.165,80,0
